codigo,curso,grau
8253,Administração Pública,Licenciatura
8328,Automação e Sistemas de Produção,Licenciatura
8912,Eletrónica e Mecânica Industrial,Licenciatura
8327,Engenharia Aeroespacial,Licenciatura
8317,Engenharia Biomédica,Licenciatura
8323,Engenharia Civil,Licenciatura
8312,Engenharia de Automação Industrial,Licenciatura
8316,Engenharia de Computadores e Informática,Licenciatura
8319,Engenharia de Materiais,Licenciatura
8318,Engenharia do Ambiente,Licenciatura
8314,Engenharia e Gestão Industrial,Licenciatura
8321,Engenharia Eletrotécnica e de Computadores,Licenciatura
8320,Engenharia Física,Licenciatura
8914,Engenharia Informática Aplicada,Licenciatura
8313,Engenharia Mecânica,Licenciatura
8315,Engenharia Química,Licenciatura
8310,Gestão e Planeamento em Turismo,Licenciatura
8326,"Meteorologia, Oceanografia e Clima",Licenciatura
8325,Multimédia e Tecnologias da Comunicação,Licenciatura
8329,Medicina,Mestrado Integrado
9311,Administração e Politicas Públicas,Mestrado
9309,Ambiente e Saúde,Mestrado
9312,Assessoria de Direção e Comunicação nas Organizações,Mestrado
9316,Avaliação e Gestão Ambiental,Mestrado
9280,Bioinformática Clínica,Mestrado
9211,Biologia Aplicada,Mestrado
9275,Biologia Marinha Aplicada,Mestrado
9150,Biologia Molecular e Celular,Mestrado
9333,Biomateriais e Nanomedicina,Mestrado
9153,Biomedicina Molecular,Mestrado
9216,Bioquímica,Mestrado
9210,Biotecnologia,Mestrado
9281,Cibersegurança,Mestrado
9306,Ciência de Dados,Mestrado
9288,Ciência de Dados para Ciências Sociais,Mestrado
9155,Ciência Política,Mestrado
9265,Ciências do Mar e da Atmosfera,Mestrado
9304,Competitividade e Desenvolvimento de Negócios,Mestrado
9301,Comunicação Audiovisual Para Novos Média,Mestrado
9300,Comunicação e Tecnologias Web,Mestrado
9303,Construção e Reabilitação de Infraestruturas de Transporte,Mestrado
9229,Contabilidade,Mestrado
9277,Contabilidade e Controlo de Gestão,Mestrado
9159,Criação Artística Contemporânea,Mestrado
9305,Desenvolvimento de Jogos Digitais,Mestrado
9315,Design,Mestrado
9273,Eco-toxicologia e Análise de Risco,Mestrado
9241,Ecologia Aplicada,Mestrado
9161,Economia,Mestrado
9254,Educação e Formação,Mestrado
9260,Educação Pré-Escolar e Ensino no 1º Ciclo do Ensino Básico,Mestrado
9313,"Enfermagem Comunitária, na Área de Enfermagem de Saúde Familiar",Mestrado
9322,"Enfermagem Médico-Cirúrgica, na Área De Enfermagem À Pessoa Em Situação Crítica",Mestrado
9321,"Enfermagem Médico-Cirúrgica, na Área De Enfermagem À Pessoa Em Situação Crónica",Mestrado
9332,Engenharia Aeroespacial,Mestrado
9292,Engenharia Biomédica,Mestrado
9296,Engenharia Civil,Mestrado
9294,Engenharia Computacional,Mestrado
9279,Engenharia da Soldadura,Mestrado
9163,Engenharia de Automação Industrial,Mestrado
9291,Engenharia de Computadores e Telemática,Mestrado
9326,Engenharia de Manutenção Industrial,Mestrado
9299,Engenharia de Materiais,Mestrado
9293,Engenharia do Ambiente,Mestrado
9239,Engenharia e Design de Produto,Mestrado
9297,Engenharia e Gestão Industrial,Mestrado
9295,Engenharia Eletrónica e Telecomunicações,Mestrado
9298,Engenharia Física,Mestrado
9149,Engenharia Geológica,Mestrado
9263,Engenharia Informática,Mestrado
9289,Engenharia Mecânica,Mestrado
9327,Engenharia Mecatrónica,Mestrado
9290,Engenharia Química,Mestrado
9142,Ensino de Biologia e de Geologia no 3.º Ciclo do Ensino Básico e no Ensino Secundário,Mestrado
9144,Ensino de Física e de Química no 3º Ciclo do Ensino Básico e no Ensino Secundário,Mestrado
9257,"Ensino de Inglês e de Língua Estrangeira no 3º ciclo do Ensino Básico e no Ensino Secundário, na especialidade de Alemão ou Francês ou Espanhol",Mestrado
9261,Ensino de Inglês no 1º Ciclo do Ensino Básico,Mestrado
9194,Ensino de Matemática no 3.º Ciclo do Ensino Básico e no Ensino Secundário,Mestrado
9237,Ensino de Música,Mestrado
9258,"Ensino de Português e de Língua Estrangeira no 3º Ciclo do Ensino Básico e no ensino Secundário, na especialidade de Alemão ou Francês ou Espanhol",Mestrado
9259,Ensino do 1º Ciclo do Ensino Básico e de Matemática e Ciências Naturais do 2º Ciclo do Ensino Básico,Mestrado
9256,Ensino do 1º ciclo do Ensino Básico e de Português e História e Geografia de Portugal no 2º Ciclo do Ensino Básico,Mestrado
9271,Estatística Médica,Mestrado
9226,Estudos Chineses,Mestrado
9166,Estudos Editoriais,Mestrado
9249,Finanças,Mestrado
9167,Física (lecionado em inglês),Mestrado
9266,Fisioterapia,Mestrado
9325,Fisioterapia Cardiovascular e Respiratória,Mestrado
9324,Fisioterapia Musculoesquelética,Mestrado
9169,Geomateriais e Recursos Geológicos,Mestrado
9269,Gerontologia Aplicada,Mestrado
9171,Gestão,Mestrado
9268,Gestão Comercial,Mestrado
9270,Gestão da Investigação Clínica,Mestrado
9282,Gestão da Qualidade Total,Mestrado
9314,Gestão e Negócios Digitais,Mestrado
9172,Gestão e Planeamento em Turismo,Mestrado
9276,Informática Aplicada,Mestrado
9173,Línguas e Relações Empresariais,Mestrado
9285,Manufatura Aditiva,Mestrado
9231,Marketing,Mestrado
9284,Marketing e Comunicação Digital,Mestrado
9264,Matemática e Aplicações,Mestrado
9244,Matemática para Professores,Mestrado
9137,Microbiologia,Mestrado
9286,Mobilidade Inteligente,Mestrado
9179,Música,Mestrado
9180,Planeamento Regional e Urbano,Mestrado
9262,Português Língua Estrangeira/Língua Segunda,Mestrado
9287,Produto e Tecnologia Digital,Mestrado
9302,Projeto de Estruturas,Mestrado
9308,Psicologia da Saúde e Neuropsicologia,Mestrado
9215,Química (lecionado em inglês),Mestrado
9278,Reabilitação do Património,Mestrado
9283,Robótica e Sistemas Inteligentes,Mestrado
9182,Sistemas Energéticos Sustentáveis,Mestrado
9251,Tecnologias da Imagem Médica,Mestrado
9272,Terapia da Fala,Mestrado
9274,Tradução Especializada,Mestrado
9204,Biologia (lecionado em inglês),Programa Doutoral
9942,Biologia e Ecologia das Alterações Globais (lecionado em inglês),Programa Doutoral
9979,Biomedicina,Programa Doutoral
9915,Bioquímica,Programa Doutoral
9983,Biorrefinarias,Programa Doutoral
9993,Biotecnologia,Programa Doutoral
9206,Ciência e Engenharia de Materiais (lecionado em inglês ),Programa Doutoral
9971,Ciência e Tecnologia Alimentar e Nutrição,Programa Doutoral
9972,Ciência Política,Programa Doutoral
9968,"Ciência, Tecnologia e Gestão do Mar",Programa Doutoral
9919,Ciências da Linguagem,Programa Doutoral
9225,Ciências da Reabilitação,Programa Doutoral
9185,Ciências e Engenharia do Ambiente (lecionado em inglês),Programa Doutoral
9989,Ciências Económicas e Empresariais,Programa Doutoral
9987,Contabilidade,Programa Doutoral
9910,Criação Artística,Programa Doutoral
9988,Design,Programa Doutoral
9964,Educação,Programa Doutoral
9909,Engenharia Biomédica,Programa Doutoral
9947,Engenharia Civil,Programa Doutoral
9938,"Engenharia da Refinação, Petroquímica e Química",Programa Doutoral
9951,Engenharia e Gestão Industrial,Programa Doutoral
9935,Engenharia Eletrotécnica (lecionado em inglês),Programa Doutoral
9933,Engenharia Física,Programa Doutoral
9934,Engenharia Informática (lecionado em inglês),Programa Doutoral
9207,Engenharia Mecânica,Programa Doutoral
9914,Engenharia Química,Programa Doutoral
9986,Estudos Culturais,Programa Doutoral
9982,Estudos Literários,Programa Doutoral
9217,Física - MAP-Fis (lecionado em inglês),Programa Doutoral
9189,Geociências,Programa Doutoral
9994,Gerontologia e Geriatria,Programa Doutoral
9969,História das Ciências e Educação Científica,Programa Doutoral
9192,Informação e Comunicação em Plataformas Digitais,Programa Doutoral
9924,Informática - MAP-i (lecionado em inglês),Programa Doutoral
9913,Inovação em Empresas,Programa Doutoral
9940,Marketing e Estratégia (lecionado em inglês),Programa Doutoral
9209,Matemática,Programa Doutoral
9980,Matemática Aplicada,Programa Doutoral
9974,Materiais e Processamento Avançados,Programa Doutoral
9937,Multimédia em Educação,Programa Doutoral
9953,Música,Programa Doutoral
9916,Nanociências e Nanotecnologia,Programa Doutoral
9912,Novos Média,Programa Doutoral
9970,Políticas Públicas,Programa Doutoral
9188,Psicologia,Programa Doutoral
9202,Química,Programa Doutoral
9975,Química Sustentável,Programa Doutoral
9958,Sistemas Energéticos e Alterações Climáticas,Programa Doutoral
9186,Telecomunicações - MAP-Tele (lecionado em inglês),Programa Doutoral
9956,"Território, Risco e Políticas Públicas",Programa Doutoral
9966,Tradução e Terminologia,Programa Doutoral
9960,Turismo,Programa Doutoral
